Time,Predicted pooled reads,Skew,Incidence (pop),Prevalence (pop),S (pop),I (pop),R (pop),S (sample),I (sample),R (sample),Sim no
60.0,0.16,0.9463,0.0013666666666666666,0.20276666666666668,527,6083,23390,0,9,41,96
60.0,0.3,-0.8282,0.0013666666666666666,0.20276666666666668,527,6083,23390,0,9,41,97
60.0,0.12,1.6791,0.0013666666666666666,0.20276666666666668,527,6083,23390,0,15,35,98
60.0,0.1,0.8263,0.0013666666666666666,0.20276666666666668,527,6083,23390,0,10,40,99
60.0,0.86,-0.2566,0.0013666666666666666,0.20276666666666668,527,6083,23390,1,12,37,100
90.0,0.08,0.3808,1.6666666666666666E-4,0.028833333333333332,198,865,28937,0,0,50,1
90.0,0.08,0.4691,1.6666666666666666E-4,0.028833333333333332,198,865,28937,0,0,50,2
90.0,0.0,0.9658,1.6666666666666666E-4,0.028833333333333332,198,865,28937,2,1,47,3
90.0,0.06,0.7982,1.6666666666666666E-4,0.028833333333333332,198,865,28937,0,0,50,4
90.0,0.0,1.2475,1.6666666666666666E-4,0.028833333333333332,198,865,28937,0,2,48,5
90.0,0.1,0.7568,1.6666666666666666E-4,0.028833333333333332,198,865,28937,1,1,48,6
90.0,0.8,-1.2274,1.6666666666666666E-4,0.028833333333333332,198,865,28937,0,3,47,7
90.0,0.06,0.9165,1.6666666666666666E-4,0.028833333333333332,198,865,28937,0,1,49,8
90.0,0.02,1.1839,1.6666666666666666E-4,0.028833333333333332,198,865,28937,0,0,50,9
90.0,0.02,0.8453,1.6666666666666666E-4,0.028833333333333332,198,865,28937,1,1,48,10
90.0,0.06,1.0338,1.6666666666666666E-4,0.028833333333333332,198,865,28937,0,1,49,11
90.0,0.0,0.8671,1.6666666666666666E-4,0.028833333333333332,198,865,28937,0,1,49,12
90.0,0.12,0.4533,1.6666666666666666E-4,0.028833333333333332,198,865,28937,0,2,48,13
90.0,0.74,-1.3939,1.6666666666666666E-4,0.028833333333333332,198,865,28937,0,2,48,14
90.0,3.02,-2.916,1.6666666666666666E-4,0.028833333333333332,198,865,28937,1,2,47,15
90.0,0.12,0.9441,1.6666666666666666E-4,0.028833333333333332,198,865,28937,1,1,48,16
90.0,0.02,1.4396,1.6666666666666666E-4,0.028833333333333332,198,865,28937,1,1,48,17
90.0,0.06,1.5249,1.6666666666666666E-4,0.028833333333333332,198,865,28937,0,2,48,18
90.0,0.1,4.1222,1.6666666666666666E-4,0.028833333333333332,198,865,28937,0,1,49,19
90.0,0.1,0.7818,1.6666666666666666E-4,0.028833333333333332,198,865,28937,1,1,48,20
90.0,0.02,0.1929,1.6666666666666666E-4,0.028833333333333332,198,865,28937,0,1,49,21
90.0,0.08,1.2427,1.6666666666666666E-4,0.028833333333333332,198,865,28937,0,0,50,22
90.0,0.02,1.6053,1.6666666666666666E-4,0.028833333333333332,198,865,28937,0,3,47,23
90.0,0.06,0.4959,1.6666666666666666E-4,0.028833333333333332,198,865,28937,0,2,48,24
90.0,0.08,0.5232,1.6666666666666666E-4,0.028833333333333332,198,865,28937,1,3,46,25
90.0,0.04,0.583,1.6666666666666666E-4,0.028833333333333332,198,865,28937,1,3,46,26
90.0,0.04,1.1731,1.6666666666666666E-4,0.028833333333333332,198,865,28937,1,2,47,27
90.0,0.04,1.295,1.6666666666666666E-4,0.028833333333333332,198,865,28937,1,1,48,28
90.0,0.02,0.5413,1.6666666666666666E-4,0.028833333333333332,198,865,28937,0,2,48,29
90.0,0.08,0.5627,1.6666666666666666E-4,0.028833333333333332,198,865,28937,0,1,49,30
90.0,0.04,0.9363,1.6666666666666666E-4,0.028833333333333332,198,865,28937,0,1,49,31
90.0,0.02,1.1771,1.6666666666666666E-4,0.028833333333333332,198,865,28937,1,1,48,32
90.0,0.02,0.3348,1.6666666666666666E-4,0.028833333333333332,198,865,28937,0,0,50,33
90.0,0.06,0.4484,1.6666666666666666E-4,0.028833333333333332,198,865,28937,0,3,47,34
90.0,0.06,0.771,1.6666666666666666E-4,0.028833333333333332,198,865,28937,1,1,48,35
90.0,0.02,1.3597,1.6666666666666666E-4,0.028833333333333332,198,865,28937,1,2,47,36
90.0,0.04,0.4779,1.6666666666666666E-4,0.028833333333333332,198,865,28937,1,1,48,37
90.0,0.06,1.7335,1.6666666666666666E-4,0.028833333333333332,198,865,28937,0,0,50,38
90.0,0.02,0.5092,1.6666666666666666E-4,0.028833333333333332,198,865,28937,0,2,48,39
90.0,0.1,0.9895,1.6666666666666666E-4,0.028833333333333332,198,865,28937,0,0,50,40
90.0,0.02,1.4882,1.6666666666666666E-4,0.028833333333333332,198,865,28937,0,0,50,41
90.0,0.02,0.9396,1.6666666666666666E-4,0.028833333333333332,198,865,28937,0,0,50,42
90.0,0.04,0.7318,1.6666666666666666E-4,0.028833333333333332,198,865,28937,1,1,48,43
90.0,0.0,0.704,1.6666666666666666E-4,0.028833333333333332,198,865,28937,1,2,47,44
90.0,0.12,1.4024,1.6666666666666666E-4,0.028833333333333332,198,865,28937,0,2,48,45
90.0,0.06,0.7186,1.6666666666666666E-4,0.028833333333333332,198,865,28937,1,1,48,46
90.0,0.06,0.8243,1.6666666666666666E-4,0.028833333333333332,198,865,28937,1,0,49,47
90.0,0.02,1.4864,1.6666666666666666E-4,0.028833333333333332,198,865,28937,2,2,46,48
90.0,0.08,0.5749,1.6666666666666666E-4,0.028833333333333332,198,865,28937,1,4,45,49
90.0,0.06,1.4591,1.6666666666666666E-4,0.028833333333333332,198,865,28937,0,0,50,50
90.0,0.04,0.8913,1.6666666666666666E-4,0.028833333333333332,198,865,28937,1,4,45,51
90.0,0.04,1.0259,1.6666666666666666E-4,0.028833333333333332,198,865,28937,0,5,45,52
90.0,0.08,1.6105,1.6666666666666666E-4,0.028833333333333332,198,865,28937,0,0,50,53
90.0,0.04,0.3536,1.6666666666666666E-4,0.028833333333333332,198,865,28937,0,1,49,54
90.0,0.04,0.3735,1.6666666666666666E-4,0.028833333333333332,198,865,28937,0,2,48,55
90.0,0.04,0.7213,1.6666666666666666E-4,0.028833333333333332,198,865,28937,0,0,50,56
90.0,0.04,0.8018,1.6666666666666666E-4,0.028833333333333332,198,865,28937,0,3,47,57
90.0,0.04,1.2324,1.6666666666666666E-4,0.028833333333333332,198,865,28937,0,3,47,58
90.0,0.02,0.0951,1.6666666666666666E-4,0.028833333333333332,198,865,28937,0,1,49,59
90.0,0.0,0.9869,1.6666666666666666E-4,0.028833333333333332,198,865,28937,0,4,46,60
90.0,0.02,0.5918,1.6666666666666666E-4,0.028833333333333332,198,865,28937,0,3,47,61
90.0,0.06,0.446,1.6666666666666666E-4,0.028833333333333332,198,865,28937,0,2,48,62
90.0,0.04,0.8622,1.6666666666666666E-4,0.028833333333333332,198,865,28937,0,0,50,63
90.0,0.04,1.0893,1.6666666666666666E-4,0.028833333333333332,198,865,28937,0,3,47,64
90.0,0.02,1.3374,1.6666666666666666E-4,0.028833333333333332,198,865,28937,1,1,48,65
90.0,0.0,1.855,1.6666666666666666E-4,0.028833333333333332,198,865,28937,0,0,50,66
90.0,3.56,-2.9601,1.6666666666666666E-4,0.028833333333333332,198,865,28937,0,2,48,67
90.0,0.04,0.7899,1.6666666666666666E-4,0.028833333333333332,198,865,28937,0,0,50,68
90.0,0.0,0.8222,1.6666666666666666E-4,0.028833333333333332,198,865,28937,1,3,46,69
90.0,0.1,0.6572,1.6666666666666666E-4,0.028833333333333332,198,865,28937,0,2,48,70
90.0,0.06,1.2338,1.6666666666666666E-4,0.028833333333333332,198,865,28937,0,1,49,71
90.0,0.14,0.6315,1.6666666666666666E-4,0.028833333333333332,198,865,28937,0,1,49,72
90.0,0.04,0.8191,1.6666666666666666E-4,0.028833333333333332,198,865,28937,2,0,48,73
90.0,0.02,1.0534,1.6666666666666666E-4,0.028833333333333332,198,865,28937,1,2,47,74
90.0,0.08,0.9743,1.6666666666666666E-4,0.028833333333333332,198,865,28937,0,2,48,75
90.0,0.0,1.2242,1.6666666666666666E-4,0.028833333333333332,198,865,28937,2,3,45,76
90.0,0.06,0.6962,1.6666666666666666E-4,0.028833333333333332,198,865,28937,0,3,47,77
90.0,0.0,0.9501,1.6666666666666666E-4,0.028833333333333332,198,865,28937,0,2,48,78
90.0,0.08,0.9212,1.6666666666666666E-4,0.028833333333333332,198,865,28937,0,1,49,79
90.0,0.02,0.8028,1.6666666666666666E-4,0.028833333333333332,198,865,28937,0,2,48,80
90.0,0.06,0.8211,1.6666666666666666E-4,0.028833333333333332,198,865,28937,1,1,48,81
90.0,0.04,0.9547,1.6666666666666666E-4,0.028833333333333332,198,865,28937,1,4,45,82
90.0,0.06,1.8543,1.6666666666666666E-4,0.028833333333333332,198,865,28937,0,0,50,83
90.0,0.04,0.8206,1.6666666666666666E-4,0.028833333333333332,198,865,28937,0,3,47,84
90.0,0.02,0.676,1.6666666666666666E-4,0.028833333333333332,198,865,28937,0,0,50,85
90.0,0.02,0.4254,1.6666666666666666E-4,0.028833333333333332,198,865,28937,1,3,46,86
90.0,0.0,0.8838,1.6666666666666666E-4,0.028833333333333332,198,865,28937,0,1,49,87
90.0,0.06,1.3246,1.6666666666666666E-4,0.028833333333333332,198,865,28937,0,0,50,88
90.0,0.06,0.5232,1.6666666666666666E-4,0.028833333333333332,198,865,28937,1,1,48,89
90.0,0.06,1.438,1.6666666666666666E-4,0.028833333333333332,198,865,28937,0,0,50,90
