Id,birth,death|
765,22.0,27.0
766,22.0,41.0
767,22.0,30.0
768,22.0,32.0
769,22.0,72.0
770,22.0,98.0
771,22.0,124.0
772,22.0,23.0
773,22.0,31.0
774,22.0,24.0
775,22.0,24.0
776,22.0,23.0
777,22.0,35.0
778,22.0,49.0
779,22.0,53.0
780,22.0,51.0
781,22.0,34.0
782,22.0,46.0
783,22.0,49.0
784,22.0,30.0
785,22.0,24.0
786,22.0,37.0
787,22.0,33.0
788,22.0,97.0
789,22.0,23.0
790,22.0,28.0
791,22.0,43.0
792,22.0,39.0
793,22.0,31.0
794,22.0,40.0
795,22.0,65.0
796,22.0,43.0
797,22.0,32.0
798,22.0,22.0
799,22.0,27.0
800,22.0,35.0
801,22.0,27.0
802,22.0,22.0
803,22.0,37.0
804,22.0,39.0
805,22.0,30.0
806,22.0,30.0
807,22.0,39.0
808,22.0,31.0
809,22.0,24.0
810,22.0,40.0
811,22.0,51.0
812,22.0,31.0
813,22.0,25.0
814,22.0,51.0
815,22.0,29.0
816,22.0,28.0
817,22.0,25.0
818,22.0,26.0
819,22.0,31.0
820,22.0,38.0
821,22.0,23.0
822,22.0,46.0
823,22.0,39.0
824,22.0,75.0
825,22.0,28.0
826,22.0,49.0
827,22.0,30.0
828,22.0,33.0
829,22.0,25.0
830,22.0,49.0
831,22.0,44.0
832,22.0,74.0
833,22.0,29.0
834,22.0,25.0
835,22.0,63.0
836,22.0,33.0
837,22.0,36.0
838,22.0,27.0
839,22.0,28.0
840,22.0,52.0
841,22.0,53.0
842,22.0,27.0
843,22.0,46.0
844,23.0,70.0
845,23.0,23.0
846,23.0,50.0
847,23.0,59.0
848,23.0,45.0
849,23.0,48.0
850,23.0,32.0
851,23.0,113.0
852,23.0,67.0
853,23.0,28.0
854,23.0,26.0
855,23.0,39.0
856,23.0,42.0
857,23.0,77.0
858,23.0,36.0
859,23.0,23.0
860,23.0,31.0
861,23.0,52.0
862,23.0,31.0
863,23.0,53.0
864,23.0,37.0
865,23.0,56.0
866,23.0,28.0
867,23.0,38.0
868,23.0,28.0
869,23.0,23.0
870,23.0,33.0
871,23.0,36.0
872,23.0,27.0
873,23.0,40.0
874,23.0,71.0
875,23.0,86.0
876,23.0,33.0
877,23.0,62.0
878,23.0,28.0
879,23.0,40.0
880,23.0,29.0
881,23.0,45.0
882,23.0,27.0
883,23.0,23.0
884,23.0,27.0
885,23.0,39.0
886,23.0,38.0
887,23.0,43.0
888,23.0,35.0
889,23.0,34.0
890,23.0,26.0
891,23.0,32.0
892,23.0,27.0
893,23.0,25.0
894,23.0,43.0
895,23.0,36.0
896,23.0,26.0
897,23.0,37.0
898,23.0,27.0
899,23.0,24.0
900,23.0,26.0
901,23.0,46.0
902,23.0,28.0
903,23.0,35.0
904,23.0,67.0
905,23.0,64.0
906,23.0,24.0
907,23.0,39.0
908,23.0,42.0
909,23.0,32.0
910,23.0,30.0
911,23.0,39.0
912,23.0,42.0
913,23.0,39.0
914,23.0,42.0
915,23.0,23.0
916,23.0,29.0
917,23.0,33.0
918,23.0,25.0
919,23.0,28.0
920,23.0,27.0
921,23.0,41.0
922,23.0,55.0
923,23.0,35.0
924,23.0,32.0
925,23.0,25.0
926,23.0,26.0
927,23.0,95.0
928,23.0,43.0
929,23.0,30.0
930,23.0,48.0
931,23.0,42.0
932,23.0,30.0
933,23.0,26.0
934,23.0,75.0
935,23.0,41.0
936,23.0,46.0
937,23.0,29.0
938,23.0,37.0
939,23.0,33.0
940,23.0,29.0
941,23.0,27.0
942,23.0,43.0
943,23.0,49.0
944,23.0,53.0
945,23.0,32.0
946,23.0,23.0
947,23.0,28.0
948,23.0,50.0
949,23.0,41.0
950,23.0,34.0
951,23.0,49.0
952,23.0,46.0
953,23.0,50.0
954,23.0,32.0
955,23.0,29.0
956,23.0,60.0
957,23.0,23.0
958,23.0,42.0
959,23.0,31.0
